-250	5.00	0.00
-250	61.12	0.00
-250	117.25	0.00
-250	173.37	0.00
-250	229.49	0.00
-250	285.62	0.00
-250	341.74	0.00
-250	397.87	0.00
-250	453.99	-1.57
-250	510.11	-14.44
-250	566.24	-30.96
-250	622.36	-47.05
-250	678.48	-62.80
-250	734.61	-78.19
-250	790.73	-93.15
-250	846.85	-107.85
-250	902.98	-122.11
-250	959.10	-135.94
-250	1015.22	-149.51
-250	1071.35	-162.64
-250	1127.47	-175.52
-250	1183.60	-188.13
-250	1239.72	-200.39
-250	1295.84	-212.39
-250	1351.97	-224.13
-250	1408.09	-235.62
-250	1464.21	-246.92
-250	1520.34	-257.97
-250	1576.46	-268.84
-250	1632.58	-279.54
-250	1688.71	-290.15
-250	1744.83	-300.50
-250	1800.96	-310.76
-250	1857.08	-320.85
-250	1913.20	-330.77
-250	1969.33	-340.68
-250	2025.45	-350.42
-250	2081.57	-359.99
-250	2137.70	-369.56
-250	2193.82	-378.95
-250	2249.94	-388.34
-250	2306.07	-397.56
-250	2362.19	-406.78
-250	2418.31	-415.83
-250	2474.44	-424.87
-250	2530.56	-433.83
-250	2586.69	-442.79
-250	2642.81	-451.57
-250	2698.93	-460.36
-250	2755.06	-469.14
-250	2811.18	-477.84
-250	2867.30	-486.45
-250	2923.43	-495.06
-250	2979.55	-503.59
-250	3035.67	-512.11
-250	3091.80	-520.55
-250	3147.92	-528.98
-250	3204.04	-537.42
-250	3260.17	-545.77
-250	3316.29	-554.12
-250	3372.42	-562.47
-250	3428.54	-570.73
-250	3484.66	-578.99
-250	3540.79	-587.17
-250	3596.91	-595.43
-250	3653.03	-603.61
-250	3709.16	-611.78
-250	3765.28	-619.87
-250	3821.40	-627.96
-250	3877.53	-636.14
-250	3933.65	-644.22
-250	3989.78	-652.23
-250	4045.90	-660.31
-250	4102.02	-668.32
-250	4158.15	-676.32
-250	4214.27	-684.32
-250	4270.39	-692.32
-250	4326.52	-700.24
-250	4382.64	-708.24
-250	4438.76	-716.24
-250	4494.89	-724.15
-250	4551.01	-732.07
-250	4607.13	-739.98
-250	4663.26	-747.90
-250	4719.38	-755.73
-250	4775.51	-763.64
-250	4831.63	-771.47
-250	4887.75	-779.38
-250	4943.88	-787.21
-250	5000.00	-795.04
-245	5.00	0.00
-245	61.12	0.00
-245	117.25	0.00
-245	173.37	0.00
-245	229.49	0.00
-245	285.62	0.00
-245	341.74	0.00
-245	397.87	0.00
-245	453.99	-2.26
-245	510.11	-16.53
-245	566.24	-33.05
-245	622.36	-49.31
-245	678.48	-65.32
-245	734.61	-80.89
-245	790.73	-96.11
-245	846.85	-110.98
-245	902.98	-125.42
-245	959.10	-139.51
-245	1015.22	-153.16
-245	1071.35	-166.56
-245	1127.47	-179.60
-245	1183.60	-192.30
-245	1239.72	-204.74
-245	1295.84	-216.92
-245	1351.97	-228.83
-245	1408.09	-240.57
-245	1464.21	-252.05
-245	1520.34	-263.27
-245	1576.46	-274.41
-245	1632.58	-285.28
-245	1688.71	-295.98
-245	1744.83	-306.59
-245	1800.96	-317.02
-245	1857.08	-327.29
-245	1913.20	-337.46
-245	1969.33	-347.47
-245	2025.45	-357.38
-245	2081.57	-367.21
-245	2137.70	-376.95
-245	2193.82	-386.60
-245	2249.94	-396.17
-245	2306.07	-405.56
-245	2362.19	-414.96
-245	2418.31	-424.26
-245	2474.44	-433.57
-245	2530.56	-442.70
-245	2586.69	-451.84
-245	2642.81	-460.88
-245	2698.93	-469.93
-245	2755.06	-478.88
-245	2811.18	-487.76
-245	2867.30	-496.63
-245	2923.43	-505.41
-245	2979.55	-514.20
-245	3035.67	-522.89
-245	3091.80	-531.59
-245	3147.92	-540.29
-245	3204.04	-548.90
-245	3260.17	-557.51
-245	3316.29	-566.03
-245	3372.42	-574.64
-245	3428.54	-583.08
-245	3484.66	-591.60
-245	3540.79	-600.04
-245	3596.91	-608.48
-245	3653.03	-616.91
-245	3709.16	-625.35
-245	3765.28	-633.70
-245	3821.40	-642.05
-245	3877.53	-650.40
-245	3933.65	-658.66
-245	3989.78	-667.01
-245	4045.90	-675.27
-245	4102.02	-683.54
-245	4158.15	-691.80
-245	4214.27	-700.06
-245	4270.39	-708.24
-245	4326.52	-716.50
-245	4382.64	-724.68
-245	4438.76	-732.85
-245	4494.89	-741.03
-245	4551.01	-749.20
-245	4607.13	-757.38
-245	4663.26	-765.55
-245	4719.38	-773.64
-245	4775.51	-781.73
-245	4831.63	-789.91
-245	4887.75	-798.00
-245	4943.88	-806.09
-245	5000.00	-814.17
-240	5.00	0.00
-240	61.12	0.00
-240	117.25	0.00
-240	173.37	0.00
-240	229.49	0.00
-240	285.62	0.00
-240	341.74	0.00
-240	397.87	0.00
-240	453.99	-3.22
-240	510.11	-18.44
-240	566.24	-35.22
-240	622.36	-51.75
-240	678.48	-67.93
-240	734.61	-83.76
-240	790.73	-99.15
-240	846.85	-114.20
-240	902.98	-128.81
-240	959.10	-143.07
-240	1015.22	-156.99
-240	1071.35	-170.56
-240	1127.47	-183.78
-240	1183.60	-196.74
-240	1239.72	-209.35
-240	1295.84	-221.70
-240	1351.97	-233.79
-240	1408.09	-245.70
-240	1464.21	-257.36
-240	1520.34	-268.84
-240	1576.46	-280.06
-240	1632.58	-291.19
-240	1688.71	-302.06
-240	1744.83	-312.85
-240	1800.96	-323.46
-240	1857.08	-333.98
-240	1913.20	-344.33
-240	1969.33	-354.60
-240	2025.45	-364.69
-240	2081.57	-374.69
-240	2137.70	-384.69
-240	2193.82	-394.52
-240	2249.94	-404.26
